initiative_name,description,category,type,amount,participants,source,evidence_level,pillar,reporting_period,provider,budget_class,hours,coverage
Programma Upskilling Digitale,Percorso di aggiornamento competenze digitali e AI per personale HR e operations,Formazione professionalizzante,Corso volontario,18500,42,HR declaration,L1,GROWTH,2026-Q1,Accademia Interna,hr_learning,24,120
Academy Corporate AI Skills,Training avanzato su intelligenza artificiale e machine learning per team prodotto,Formazione addizionale,Academy aziendale,32000,28,Provider export,L2,GROWTH,2026-Q1,Learning Hub S.r.l.,hr_learning,40,80
Coaching Professionale Individuale,Sessioni di coaching one-to-one con coach certificati esterni per manager e senior,Sviluppo professionale,Coaching professionale,12800,15,Internal declaration,L1,GROWTH,2026-Q1,Coaching Partners Italia,hr_learning,16,40
Leadership Development Program,Programma sviluppo leadership per team leader e responsabili di funzione,Leadership development,Leadership program,25000,20,Invoice / Consuntivo,L2,GROWTH,2026-Q1,Business School Nord,hr_learning,32,60
Supporto Psicologico Aziendale,Servizio di mental health con psicologi aziendali a disposizione dei dipendenti,Mental health program,Wellbeing volontario,14400,65,Provider export,L2,LIFE,2026-Q1,Psicologia Aziendale S.r.l.,welfare,0,200
Convenzione Palestra Aziendale,Abbonamento palestra con tariffa convenzionata per tutti i dipendenti,Fitness aziendale,Sport benefit,8200,88,HR declaration,L1,LIFE,2026-Q1,FitLife Gyms,welfare,0,200
Smart Working Policy Avanzata,Policy formalizzata di lavoro agile con diritto alla disconnessione e no-meeting Friday,Smart working policy,Politica organizzativa,0,200,HR declaration,L1,LIFE,2026-Q1,Interno,welfare,0,200
Prevenzione Sanitaria Extra,Check-up sanitari aggiuntivi facoltativi oltre l'obbligo di legge - pacchetto prevention,Prevenzione extra,Check-up extra,9600,75,Invoice / Consuntivo,L2,LIFE,2026-Q1,Clinica Salute S.p.A.,welfare,0,200
Congedo Parentale Aggiuntivo,Giorni di congedo parentale aggiuntivi rispetto al minimo di legge per neogenitori,Welfare familiare,Congedo genitorialita,0,12,Internal declaration,L1,LIFE,2026-Q1,Interno,welfare,0,200
Programma Mentoring Generazionale,Senior junior mentoring strutturato: conoscenze trasferite da senior a junior,Mentoring generazionale,Mentoring,6500,30,HR declaration,L1,LEGACY,2026-Q1,Interno,hr_learning,0,100
Previdenza Complementare Aziendale,Contribuzione aggiuntiva volontaria al fondo pensione integrativo aziendale,Previdenza complementare,Fondo pensione,45000,95,Internal accounting,L2,LEGACY,2026-Q1,Fondo Pensione Alfa,welfare,0,200
Educazione Finanziaria,Workshop trimestrali di pianificazione finanziaria e gestione del risparmio,Educazione finanziaria,Financial wellbeing futuro,3200,60,HR declaration,L1,LEGACY,2026-Q1,WiseMoney Italia,hr_learning,8,120
Volontariato Aziendale Strutturato,Programma di volontariato aziendale: 8 ore/anno pagate per attività sociali,Volontariato aziendale,Volunteering,0,55,HR declaration,L1,IMPACT,2026-Q1,Interno,esg_volunteering,8,200
Partnership con Scuole Locali,Progetto scuola-lavoro con alternanza studenti in azienda per 3 mesi,Partnership nonprofit,Progetto territoriale,4800,8,Internal declaration,L1,IMPACT,2026-Q1,IIS Tecnico Locale,esg_volunteering,0,200
Progetto Sociale Territorio,Iniziativa territoriale di supporto alla comunità locale in partnership con Comune,Community project,Impatto sociale,6000,25,Internal declaration,L1,IMPACT,2026-Q1,Comune Partner,esg_volunteering,0,200
Programma Inclusione e Diversità,Employee Resource Group per inclusione genere e generazionale - attività trimestrali,Inclusion program,Diversita e inclusione,5500,40,HR declaration,L1,CONNECTION,2026-Q1,Interno,welfare,0,150
Peer Support e Buddy Program,Sistema di buddy aziendale per onboarding e supporto tra colleghi,Peer support,Buddy program,2400,35,HR declaration,L1,CONNECTION,2026-Q1,Interno,hr_learning,4,120
Community Interna Innovazione,Employee resource group interno focalizzato su innovazione e digital transformation,Community interna,Team cohesion,1800,22,HR declaration,L1,CONNECTION,2026-Q1,Interno,welfare,0,200
Buoni Pasto Aziendali,Ticket restaurant per dipendenti in sede - erogazione mensile standard,Fringe benefit standard,Meal voucher,68000,190,Internal accounting,L2,LIFE,2026-Q1,Sodexo Italia,fringe_benefit,0,200
Formazione Antincendio Obbligatoria,Corso antincendio obbligatorio ai sensi del D.Lgs 81/08 per addetti antincendio,Sicurezza obbligatoria,Corso antincendio,3200,22,Invoice / Consuntivo,L3,LIFE,2026-Q1,Safety Training S.r.l.,compliance_hse,8,200
