initiative_name,description,category,type,amount,participants,source,evidence_level,pillar,reporting_period,provider,budget_class,hours,coverage
Formazione Antincendio Obbligatoria,Corso antincendio obbligatorio ai sensi del D.Lgs 81/08 per addetti e preposti,Sicurezza obbligatoria,Corso antincendio,5500,25,Invoice / Consuntivo,L3,LIFE,2026-Q1,Safety Training Italia,compliance_hse,8,150
Sorveglianza Sanitaria Obbligatoria,Sorveglianza sanitaria annuale obbligatoria per tutti i dipendenti,Sicurezza obbligatoria,Sorveglianza sanitaria,3800,25,Internal accounting,L2,LIFE,2026-Q1,Studio Medico Competente,compliance_hse,4,150
Formazione GDPR Compliance,Corso obbligatorio GDPR per trattamento dati personali dei dipendenti,Compliance legale,Compliance obbligatoria,2200,40,HR declaration,L1,GROWTH,2026-Q1,Interno,compliance_legal,3,150
Buoni Pasto Mensili,Ticket restaurant per dipendenti in sede con erogazione mensile,Benefit standard,Meal voucher,55000,65,Internal accounting,L2,LIFE,2026-Q1,Sodexo Italia,fringe_benefit,0,150
Gift Card Welfare Natale,Gift card natale per tutti i dipendenti come benefit annuale,Benefit aziendale,Gift card,4500,55,HR declaration,L1,LIFE,2026-Q1,Interno,fringe_benefit,0,150
Programma Upskilling Digitale,Percorso upskilling competenze digitali e AI per team operations e HR,Formazione professionalizzante,Corso volontario,12000,25,Provider export,L3,GROWTH,2026-Q1,Learning Hub Italia,hr_learning,20,150
Academy Leadership Mid-Level,Programma leadership program per team leader e coordinatori di funzione,Leadership development,Leadership program,8500,20,HR declaration,L1,GROWTH,2026-Q1,Business School,hr_learning,16,150
Training Data Analysis Avanzato,Corso avanzato data analysis per referenti operations e analisti HR,Formazione tecnica,Corso tecnico,6200,18,Internal accounting,L2,GROWTH,2026-Q1,Data Academy,hr_learning,12,150
Coaching Professionale Team Lead,Sessioni coaching professionale individuale per responsabili di team,Sviluppo professionale,Coaching professionale,4800,12,HR declaration,L1,GROWTH,2026-Q1,Coaching Partners,hr_learning,8,150
Mental Health Program Aziendale,Supporto psicologico aziendale con sessioni individuali e di gruppo a disposizione dei dipendenti,Benessere mentale,Mental health program,9600,30,Provider export,L3,LIFE,2026-Q1,MindCare Italia,welfare,0,150
Convenzione Palestra Corporate,Abbonamento palestra convenzionato con tariffa agevolata per tutti i dipendenti,Fitness aziendale,Convenzione palestra,5200,15,HR declaration,L1,LIFE,2026-Q1,SportLife Gyms,welfare,0,150
Prevenzione Sanitaria Aggiuntiva,Check-up sanitari facoltativi aggiuntivi rispetto all'obbligo annuale di legge,Prevenzione extra,Check-up extra,4400,12,Internal accounting,L2,LIFE,2026-Q1,Clinica Salute,welfare,0,150
Programma Buddy e Peer Support,Sistema di buddy aziendale per supporto tra colleghi e onboarding nuovi assunti,Peer support,Buddy program,2400,20,HR declaration,L1,CONNECTION,2026-Q1,Interno,hr_learning,4,150
Community Innovazione Interna,Employee resource group focalizzato su innovazione e digital transformation aziendale,Community interna,Team cohesion,1800,18,HR declaration,L1,CONNECTION,2026-Q1,Interno,welfare,0,150
Employee Resource Group Inclusione,ERG per inclusione di genere e generazionale con attività trimestrali strutturate,Inclusion program,Diversità e inclusione,3200,12,HR declaration,L1,CONNECTION,2026-Q1,Interno,welfare,0,150
Mentoring Generazionale Senior-Junior,Programma mentoring strutturato da senior a junior per trasferimento conoscenze aziendali,Mentoring generazionale,Mentoring,2800,8,HR declaration,L1,LEGACY,2026-Q1,Interno,hr_learning,0,150
Iniziativa Qualità Lavorativa,Progetto qualità del lavoro e soddisfazione professionale dei dipendenti,Qualità del lavoro,Progetto HR,3200,15,HR declaration,L1,CONNECTION,2026-Q1,Interno,welfare,0,150
Progetto Resilienza Organizzativa,Percorso di sviluppo della resilienza e gestione dello stress in team,Sviluppo resilienza,Workshop resilienza,2600,12,HR declaration,L1,GROWTH,2026-Q1,Interno,hr_learning,6,150
